text,text_type,topics,lewis_split,cgis_split,old_id,new_id,places,people,orgs,exchanges,date,title
"U.S. Trade Representative Clayton
Yeutter said he doubted Japan could avoid the April 17
imposition of U.S. tariffs on its semiconductor products.
    The three high-level Japanese government representatives
who would be coming here in the next few days to discuss the
issue would probably be unable to show evidence of continued
compliance with the semiconductor trade agreement, Yeutter told
reporters.
    ""It would be impossible to provide evidence of compliance
with the agreement"" based on sales of only a few days time, he
said.
    Asked by reporters if the sanctions were 100 pct certain
for April 17, he said, ""One could never foreclose all options.
We have an obligation to listen to the arguments our trading
partners make.""
    He said the length of the sanctions will be determined by
Japan and Japanese semiconductor firms.
    ""They would be lifted only when persuasive evidence provided
demonstrates compliance,"" he said.
    ""Whether a few weeks or a few months depends on their
actions,"" Yeutter added.
 Reuter
","""NORM""",['trade'],"""NOT-USED""","""PUBLISHED-TESTSET""","""21461""","""12604""",['usa' 'japan'],['yeutter'],[],[], 2-APR-1987 11:13:25.96,YEUTTER DOUBTS JAPAN CAN AVOID U.S. SANCTIONS
"U.K. Defence Minister George Younger said
he had accepted an offer from British Aerospace Plc &lt;BAEL.L> to
buy state-owned armaments manufacturer &lt;Royal Ordnance> for 190
mln stg.
    The British Aerospace bid had been competing against a
rival offer from engineering group GKN Plc &lt;GKN.L>.
    Younger told Parliament the sale was conditional on
consideration by the Office of Fair Trading.
    He said its recommendation should be available next week
and, subject to approval by the Secretary of State for Trade
and Industry, should be completed before Easter.
    The decision marks the end of a period of uncertainty about
ownership of the company, Younger said.
    ""But, equally important, it opens up the full range of
opportunities for development and growth of business which are
only really available under good private sector management,"" he
said.
 Reuter
","""NORM""",['acq'],"""NOT-USED""","""PUBLISHED-TESTSET""","""21462""","""12605""",['uk'],[],[],[], 2-APR-1987 11:14:28.95,U.K. TO SELL ROYAL ORDNANCE TO BRITISH AEROSPACE
"Standard and Poor's Corp said it
affirmed Freeport McMoRan Inc's 265 mln dlrs BB-minus
subordinated debt. The implied senior debt rating is BB-plus.
    S and P cited a decline in debt leverage to a pro forma 50
pct from 66 pct at year-end 1986.  Equity and gas and oil
property sales reduced debt incurred in acquiring Petro-Lewis
Corp, American Royalty Trust and Agrico Chemical Co.
    The doubling of oil and gas reserves from a year earlier 
and synergies between the firm's agricultural operations and
Agrico strengthen its competitive position, but a rise in
financial risk slows the improvement, S and P pointed out.
 Reuter
","""NORM""",[],"""NOT-USED""","""PUBLISHED-TESTSET""","""21463""","""12606""",['usa'],[],[],[], 2-APR-1987 11:15:31.42,FREEPORT MCMORAN &lt;FTX> DEBT AFFIRMED BY S/P
"Chancellor of the Exchequer Nigel Lawson
criticised media coverage of comments he made yesterday, when
he was reported as saying he wanted sterling to stay roughly
where it was, specifying a rate of around 2.90 marks and 1.60
dlrs to the pound.
    Holding up a newspaper report on his comments headed
""Exchange Rate Targets Set"" Lawson told journalists ""This story is
a complete non-event.""
    He criticised the report, which said he was now targetting
sterling against the dollar and mark. ""Nothing of the sort
occurred,"" Lawson said.
    Lawson said he had only told National Economic Development
Council panel members what the pound's current dollar/mark
rates were that day, after saying he was happy with current
sterling levels. He said he had told the NEDC, a tripartite
forum of government, unions and industry, that the pound would
be kept near its present level by a mixture of interest rates
and intervention on foreign exchange markets.
    He then repeated to the panel that he remained satisfed
with sterling at around its current levels following the Paris
accord in February on currency stabilisation.
 Reuter
","""NORM""",['stg' 'money-fx'],"""NOT-USED""","""PUBLISHED-TESTSET""","""21464""","""12607""",['uk'],['lawson'],[],[], 2-APR-1987 11:15:40.08,LAWSON SAYS STERLING COMMENTS INSIGNIFICANT
"Sun Co's Sun Refining and Marketing Co
subsidiary said it raised the price it charges contract barge
customers for heating oil in ny harbor by 0.50 cent a gallon,
effective today.
    The 0.50 cent price hike brings Sun's heating oil price to
50.75 cts a gallon, the company said.
 Reuter
","""NORM""",['heat'],"""NOT-USED""","""PUBLISHED-TESTSET""","""21465""","""12608""",['usa'],[],[],[], 2-APR-1987 11:15:57.17,SUN &lt;SUN> RAISES HEATING OIL BARGE PRICE
"Helga Steeg, executive director of
the International Energy Agency, said a U.S. oil import fee
would disrupt world markets and could prompt trade retaliation
against the United States.
    She told the U.S. chapter of the World Energy Conference 
she believed ""an oil import fee would be difficult to operate,
would generate unacceptable economic costs and that it would
gravely hamper and distort international trade in energy.""
    Steeg also said it would violate the General Agreement on
Tariffs and Trade (GATT) by imposing a discriminatory tariff,
permitting retaliation by oil exporting countries.
    Steeg praised President Reagan's opposition to a tax, which
would be aimed at helping the U.S. oil industry.
 Reuter
","""NORM""",['crude'],"""NOT-USED""","""PUBLISHED-TESTSET""","""21466""","""12609""",['usa'],['steeg'],['iea'],[], 2-APR-1987 11:20:50.47,WORLD ENERGY OFFICIAL OPPOSES U.S OIL IMPORT FEE
"Industrial Equity (Pacific) Ltd, a
Hong Kong investment firm, said it raised its stake in Oglebay
Norton Co to 351,500 shares, or 10.6 pct of the total
outstanding common stock, from 286,500 shares, or 8.6 pct.
    In a filing with the Securities and Exchange Commission,
Industrial Equity, which is principally owned by Brierley
Investments Ltd, a publicly held New Zealand firm, said it
bought 65,000 Ogelbay shares on March 27 at 27.00 dlrs each.
    It also said the Federal Trade Commission had no objection
to its notification that it may buy between 15 and 24.9 pct of
Ogelbay's common stock.
 Reuter
","""NORM""",['acq'],"""NOT-USED""","""PUBLISHED-TESTSET""","""21467""","""12610""",['hong-kong' 'usa'],[],[],[], 2-APR-1987 11:21:12.80,HONG KONG FIRM BOOSTS OGLEBAY &lt;OGLE> STAKE
"Utilicorp United said the Iowa
Utilities Board has ordered its Peoples Natural Gas division to
reduce its rates to customers by 313,937 dlrs.
    Utilicorp said it will request a reconsideration of the
order within 20 days and the Board will have 20 days to act
upon the request.
    The company said the reduction was the result of a rate
request filed by Peoples in May 1986 for an 8.6 mln dlr
increase. The Board granted Peoples an interim increase of 4.2
mln dlrs in August 1986, Utilicorp said.
 Reuter
","""NORM""",['nat-gas'],"""NOT-USED""","""PUBLISHED-TESTSET""","""21468""","""12611""",['usa'],[],[],[], 2-APR-1987 11:24:03.21,UTILICORP &lt;UCU> DIVISION CUTS GAS RATES
"Japanese press reports said Prime Minister
Yasuhiro Nakasone has said he may compromise on his
controversial sales tax plan, bowing to widespread opposition
even within his own party.
    The reports said he told a meeting of supporters of his
ruling Liberal Democratic Party today the proposed five pct tax
should be amended if there was anything wrong with it.
    Officials were not immediately available for comment.
    Until now, Nakasone had vowed to press on with the tax as
part of his plan to reform Japan's 36-year-old tax system.
    But most Japanese newspapers and news agencies quoted him
as saying today he would not foist the tax on the Japanese
people if they hated it.
    Opposition parties and some industry groups say the tax
breaks Nakasone general election campaign promises last July
and would discourage consumer spending, needed to meet
government pledges to try to stimulate economic growth.
    Pressure for the tax to be amended or shelved is likely to
increase soon, before a first round of local elections due on
April 12, political analysts said. Resistance has spread from
opposition parties and affected industries to the LDP.
    Some 36 of Japan's 47 provincial governments have called
for the plan to be scrapped or handled carefully, government
officials said.
    Some leading LDP candidates for the local polls have not
asked Nakasone to make a campaign speech for them as they fear
his presence would weaken their position in the elections.
 REUTER
","""NORM""",[],"""NOT-USED""","""PUBLISHED-TESTSET""","""21469""","""12612""",['japan'],['nakasone'],[],[], 2-APR-1987 11:24:34.96,NAKASONE SAID WILLING TO REVISE SALES TAX PLAN
"Shr profit nil vs loss 10 cts
    Net profit 19,000 vs loss 1,825,000
    Revs 2,611,000 vs 610,000
    Avg shrs 19.3 mln vs 18.0 mln
    NOTE: 1986 net includes 4,000 dlr tax credit.
 Reuter
","""NORM""",['earn'],"""NOT-USED""","""PUBLISHED-TESTSET""","""21470""","""12613""",['usa'],[],[],[], 2-APR-1987 11:24:54.75,HITECH ENGINEERING CO &lt;THEX> YEAR NET
"Qtly div 25 cts vs 25 cts prior
    Pay May 15
    Record April 20
 Reuter
","""NORM""",[],"""NOT-USED""","""PUBLISHED-TESTSET""","""21471""","""12614""",['usa'],[],[],[], 2-APR-1987 11:25:14.38,GENERAL DYNAMICS &lt;GD> SETS DIVIDEND
"The European Community Commission decided
today to make available a further 70,000 tonnes of British
intervention feed wheat for sale on to the British domestic
market, trade sources said here.
    This will be additional to the 31,000 tonnes remaining
after this week's sale of 126,031 tonnes of domestic feed wheat
to the home market, British officials said in London.
 Reuter
","""NORM""",['grain' 'wheat'],"""NOT-USED""","""PUBLISHED-TESTSET""","""21472""","""12615""",['france' 'uk'],[],[],[], 2-APR-1987 11:27:26.83,EC TO RELEASE MORE UK INTERVENTION FEED WHEAT
"Shr seven cts vs 47 cts
    Net 652,000 vs 11.3 mln
    Year
    Shr 2.77 dlrs vs 73 cts
    Net 77.6 mln vs 16.6 mln
    NOTE: 1986 year net includes gain 51.0 mln dlrs from sale
of American Cellular Telephone Corp shares.
    1985 net both periods includes 15.2 mln dlr gain from sale
of Washington office building.
 Reuter
","""NORM""",['earn'],"""NOT-USED""","""PUBLISHED-TESTSET""","""21473""","""12616""",['usa'],[],[],[], 2-APR-1987 11:35:42.72,FMI FINANCIAL CORP &lt;FMIF> 4TH QTR NET
"In a fresh sign of the strains caused
by Brazil's suspension of interest payments on its medium-and
long-term debt, U.S. bank regulators have lowered their rating
of the country's creditworthiness to ""substandard,"" bankers
said.
    Brazil was previously ranked as an ""other transfer risk
problem."" Reserves would have to be set aside for loans to
Brazil only if its credit rating were lowered by another notch
to ""value impaired,"" but bankers said the regulators' decision
should be read as a sign of official concern about the
deterioration in Brazil's finances.
    The downgrading was decided by the Interagency Country
Valuation Review Committee, which groups regulators from
the Federal Reserve Board, the Federal Deposit Insurance Corp
and the Comptroller of the Currency.
    The downgrading coincides with the move by several major
U.S. banks to place their loans to Brazil on non-accrual status
because of the February 20 suspension of interest on 68 billion
dlrs of term debt.
    By declaring the loans non-performing, the banks wipe out
tens of millions of dollars of accrued, but uncollected,
interest payments from their first-quarter accounts.
 Reuter
","""NORM""",[],"""NOT-USED""","""PUBLISHED-TESTSET""","""21474""","""12617""",['brazil' 'usa'],[],[],[], 2-APR-1987 11:38:47.13,U.S. REGULATORS DOWNGRADE BRAZIL TO SUBSTANDARD
"U.S. Agriculture Secretary Richard
Lyng, reacting to recent criticism of U.S. meat inspection,
defended the program saying the United States has the best
inspection system in the world.
    Speaking to representatives of the U.S. National
Cattlemen's Association, NCA, Lyng attacked what he called
recent ""terribly biased"" press reports critical of USDA poultry
inspection. He cited a report on CBS ""60 Minutes"" which
criticized USDA salmonella detection in poultry.
    ""I know we have the finest meat and poultry inspection
system in the world,"" Lyng told the cattlemen.
    Lyng said USDA makes every effort to minimize the levels of
salmonella in poultry, but added ""the total elimination of
harmful bacteria is virtually impossible in this world.""
 Reuter
","""NORM""",['livestock' 'carcass'],"""NOT-USED""","""PUBLISHED-TESTSET""","""21475""","""12618""",['usa'],['lyng'],[],[], 2-APR-1987 11:40:49.21,LYNG DEFENDS U.S. MEAT INSPECTION SYSTEM
"Shr 22 cts vs not given
    Net 1.6 mln vs 1.4 mln
    Revs 35 mln vs 14 mln
    NOTE: 1985 results restated from originally reported loss
of 1.6 mln dlrs or 28 cts a share.
    1986 figures reflect reverse takeover accounting to include
12-month results of the Rose Group, but only three months for
Tele-Radio Systems Ltd and Ens Bio Logicals.
 Reuter
","""NORM""",['earn'],"""NOT-USED""","""PUBLISHED-TESTSET""","""21476""","""12619""",['canada'],[],[],[], 2-APR-1987 11:41:19.04,ENS BIO LOGICALS INC &lt;BIOLF> YEAR NET
"Vernitron Corp said it
anticipates that a special shareholders meeting will be held in
June to vote on a proposed merger with SB Holding Corp.
    Vernitron said the record date for the meeting has been
tentatively set for May 15.
    The company said it filed preliminary proxy materials with
the Securities and Exchange Commission for the special
shareholders meeting.
    Following its tender offer in November 1986, SB Holding
owns 54.7 pct of Vernitron.
 Reuter
","""NORM""",['acq'],"""NOT-USED""","""PUBLISHED-TESTSET""","""21477""","""12620""",['usa'],[],[],[], 2-APR-1987 11:41:51.25,VERNITRON &lt;VRN> TENTATIVELY SETS MERGER VOTE
"Bethlehem Steel Corp said
effective with shipments of May 3 transaction prices for all
H-piles will be increased by 30 dlrs per short ton.
    The company said a new base price, coupled with revised
size extras, will result in a published price of 446 dlrs per
ton HP14 and 420 dlrs for all other H-pile sizes.
 Reuter
","""NORM""",['iron-steel'],"""NOT-USED""","""PUBLISHED-TESTSET""","""21478""","""12621""",['usa'],[],[],[], 2-APR-1987 11:42:34.53,BETHLEHEM STEEL &lt;BS> RAISES H-PILE PRICES
"To-Fitness Inc said it
has changed the terms of a proposed five mln unit offering
expected to be made at 1,000 dlrs per unit through underwriter
Eastlake Securities Inc.
    The company said now each unit will consist of 100
redeemable cumulative preferred shares and a number of common
shares to be determined at the time of the offering.
Previously, the units were to consist entirely of preferred.
 Reuter
","""NORM""",[],"""NOT-USED""","""PUBLISHED-TESTSET""","""21479""","""12622""",['usa'],[],[],[], 2-APR-1987 11:45:31.59,TO-FITNESS &lt;TFIT> CHANGES OFFERING TERMS
"U.S. Trade Representative Clayton
Yeutter said a possible recession in western Europe or Japan
was possible as a result of the U.S. dollar's decline and the
resulting drop in the U.S. trade deficit.
    Yeutter told the Senate Finance Committee, ""They certainly
have the macroeconomic policy tools to adjust"" to the U.S.
reduction in imports.
    Asked if the U.S. trade deficit was preventing them from
going into a recession, Yeutter replied that result was
""certainly possible"" and was the reason why they should adjust
their monetary, fiscal and tax policies.
    Asked by Sen. Bill Bradley (D-N.J.) whether the U.S. trade
deficit would improve more if the value of the dollar dropped
further, Yeutter replied, ""That should be a mathematical truism.""
But he added that markets are more complicated than that.
    He said he expected the current decline in the dollar to
show up soon in the decline in the value of imports.
    He expected the U.S. would soon start importing less from
Japan and Europe and would start exporting more to Europe where
there's less rigidity on imports.
 Reuter
","""NORM""",['trade'],"""NOT-USED""","""PUBLISHED-TESTSET""","""21480""","""12623""",['usa' 'japan'],['yeutter'],[],[], 2-APR-1987 11:45:41.56,"YEUTTER SEES POSSIBLE EUROPEAN, JAPAN RECESSION"
"Oper shr 15 cts vs 32 cts
    Oper net 656,927 vs 1,388,765
    Revs 15.4 mln vs 11.3 mln
    NOTE: 1985 net includes pretax gain 1,880,056 dlrs on sale
of stock in subsidiary.
    Net excludes discontinued operations loss 641,001 dlrs vs
profit 281,818 dlrs.
 Reuter
","""NORM""",['earn'],"""NOT-USED""","""PUBLISHED-TESTSET""","""21481""","""12624""",['usa'],[],[],[], 2-APR-1987 11:46:56.68,MEDICORE INC &lt;MDK> YEAR NET
"General Automation Inc said it
completed its previously announced acquisition of Parallel
Computers Inc, of Santa Clara, Calif.
    The company said the purchase price consisted of 615,000
General Automation restricted shares together with 5-year
warrants to buy an aggregate 445,000 additional shares at 5.25
dlrs each.
 Reuter
","""NORM""",['acq'],"""NOT-USED""","""PUBLISHED-TESTSET""","""21482""","""12625""",['usa'],[],[],[], 2-APR-1987 11:48:37.88,GENERAL AUTOMATION &lt;GENA> COMPLETES PURCHASE
